Genus	Species	Marker	Sequence_Count	genDiv_mx	genDiv_mn	match_name
Aegilops	Aegilops_cylindrica	58SrRNA	8	0.0016366612111293	0.000233808744447042	Aegilops_cylindrica_58SrRNAtxt
Aegilops	Aegilops_speltoides	Adh	8	0.00437115040731174	0.000794754619511226	Aegilops_speltoides_Adhtxt
Aegopodium	Aegopodium_podagraria	rbcL	9	0.00913527798287834	0.00113224637681159	Aegopodium_podagraria_rbcLtxt
Aesculus	Aesculus_hippocastanum	rbcL	14	0.0116340181557573	0	Aesculus_hippocastanum_rbcLtxt
Agrimonia	Agrimonia_pilosa	18SrRNA	9	0.0311111111111111	0.00388888888888889	Agrimonia_pilosa_18SrRNAtxt
Agrostis	Agrostis_capillaris	matK	19	0.0103856907324335	0.000977963835106692	Agrostis_capillaris_matKtxt
Agrostis	Agrostis_clavata	rbcL	9	0.00320882037741498	0.00110632147314265	Agrostis_clavata_rbcLtxt
Agrostis	Agrostis_gigantea	rbcL	19	0.00650693840391336	0.000249128051818635	Agrostis_gigantea_rbcLtxt
Agrostis	Agrostis_mertensii	matK	10	0.0013336101258421	0.000143554407120299	Agrostis_mertensii_matKtxt
Agrostis	Agrostis_stolonifera	rbcL	34	0.0188763778111521	0.000844308782344495	Agrostis_stolonifera_rbcLtxt
Aira	Aira_caryophyllea	rbcL	12	0.00113924947774165	0	Aira_caryophyllea_rbcLtxt
Aira	Aira_praecox	rbcL	10	0.00186988655393631	0.0002050020500205	Aira_praecox_rbcLtxt
Ajuga	Ajuga_pyramidalis	matK	5	0.00450301153426153	0.000675675675675676	Ajuga_pyramidalis_matKtxt
Ajuga	Ajuga_reptans	rbcL	11	0.0181923310546671	0.00172413793103448	Ajuga_reptans_rbcLtxt
Alchemilla	Alchemilla_alpina	rbcL	7	0.00753187018459341	0.001230012300123	Alchemilla_alpina_rbcLtxt
Alchemilla	Alchemilla_arvensis	rbcL	6	0.00110837522423283	0.00109432344825739	Alchemilla_arvensis_rbcLtxt
Alchemilla	Alchemilla_filicaulis	rbcL	6	0.0051660516605166	0.00439868413150678	Alchemilla_filicaulis_rbcLtxt
Alchemilla	Alchemilla_glabra	rbcL	7	0.00736475208282135	0.00305513649595916	Alchemilla_glabra_rbcLtxt
Alchemilla	Alchemilla_micans	rbcL	4	0.00862145405187878	0.00431300061614295	Alchemilla_micans_rbcLtxt
Alchemilla	Alchemilla_xanthochlora	rbcL	6	0.00708176047277714	0.00336344742757772	Alchemilla_xanthochlora_rbcLtxt
Alhagi	Alhagi_graecorum	rbcL	6	0.000342465753424658	0	Alhagi_graecorum_rbcLtxt
Alisma	Alisma_lanceolatum	rbcL	9	0.00383217222206233	0.000476190476190476	Alisma_lanceolatum_rbcLtxt
Alisma	Alisma_plantago-aquatica	rbcL	16	0.000612997055560392	0	Alisma_plantagoaquatica_rbcLtxt
Alliaria	Alliaria_petiolata	rbcL	20	0.00201701078730904	0.00020599443815017	Alliaria_petiolata_rbcLtxt
