Genus	Species	Marker	Sequence_Count
Aegonychon	purpurocaeruleum	matK.txt	4
Aegonychon	purpurocaeruleum	rbcL.txt	4
Aegopodium	podagraria	matK.txt	8
Aegopodium	podagraria	rbcL.txt	9
Aesculus	hippocastanum	matK.txt	4
Aesculus	hippocastanum	rbcL.txt	14
Aethionema	arabicum	WGS.txt	3049
Aethionema	thomasianum	matK.txt	7
Aethionema	thomasianum	psbA-trnH.txt	7
Aethionema	thomasianum	rbcL.txt	7
Aethusa	cynapium	matK.txt	4
Aethusa	cynapium	rbcL.txt	4
Agrimonia	pilosa	18SrRNA.txt	9
Agrimonia	pilosa	28SrRNA.txt	9
Agrimonia	pilosa	5.8SrRNA.txt	9
Agrimonia	pilosa	ITS.txt	9
Agrimonia	pilosa	ITS1.txt	9
Agrimonia	pilosa	ITS2.txt	9
Agrimonia	pilosa	matK.txt	7
Agrimonia	pilosa	psbA-trnH.txt	6
Agrimonia	pilosa	rbcL.txt	4
Agrimonia	procera	rbcL.txt	5
Agriophyllum	squarrosum	matK.txt	4
Agriophyllum	squarrosum	rbcL.txt	5
Agropyron	cristatum	matK.txt	15
Agropyron	cristatum	psbA-trnH.txt	6
Agropyron	cristatum	rbcL.txt	18
Agrostemma	githago	matK.txt	4
Agrostemma	githago	rbcL.txt	8
Agrostis	canina	rbcL.txt	6
Agrostis	capillaris	matK.txt	19
Agrostis	capillaris	rbcL.txt	17
Agrostis	capillaris	trnL-trnF.txt	5
Agrostis	clavata	matK.txt	5
Agrostis	clavata	rbcL.txt	9
Agrostis	gigantea	matK.txt	10
Agrostis	gigantea	rbcL.txt	19
Agrostis	mertensii	matK.txt	10
Agrostis	mertensii	rbcL.txt	7
Agrostis	reuteri	cob.txt	4
Agrostis	stolonifera	matK.txt	22
Agrostis	stolonifera	rbcL.txt	34
Agrostis	stolonifera	trnL-trnF.txt	5
Aira	caryophyllea	matK.txt	9
Aira	caryophyllea	rbcL.txt	12
Aira	praecox	matK.txt	7
Aira	praecox	rbcL.txt	10
Ajuga	pyramidalis	matK.txt	5
Ajuga	pyramidalis	rbcL.txt	6
Ajuga	reptans	matK.txt	8
Ajuga	reptans	rbcL.txt	11
Alchemilla	alpina	matK.txt	4
Alchemilla	alpina	rbcL.txt	7
Alchemilla	arvensis	rbcL.txt	6
Alchemilla	filicaulis	rbcL.txt	6
Alchemilla	glabra	matK.txt	6
Alchemilla	glabra	rbcL.txt	7
Alchemilla	micans	rbcL.txt	4
Alchemilla	xanthochlora	matK.txt	4
Alchemilla	xanthochlora	rbcL.txt	6
Alhagi	graecorum	rbcL.txt	6
Alisma	lanceolatum	rbcL.txt	9
Alisma	plantago-aquatica	matK.txt	7
Alisma	plantago-aquatica	ndhF.txt	6
Alisma	plantago-aquatica	psbA-trnH.txt	10
Alisma	plantago-aquatica	rbcL.txt	16
Alkekengi	officinarum	psbA-trnH.txt	6
Alliaria	petiolata	matK.txt	13
Alliaria	petiolata	psbA-trnH.txt	5
Alliaria	petiolata	rbcL.txt	20
Allium	ampeloprasum	trnL-trnF.txt	11
Allium	atroviolaceum	rps16.txt	8
Allium	atroviolaceum	trnL-trnF.txt	12
Allium	caspium	5.8SrRNA.txt	4
Allium	caspium	ITS.txt	4
Allium	caspium	ITS1.txt	4
Allium	caspium	ITS2.txt	4
Allium	cretaceum	trnL-trnF.txt	6
Allium	decipiens	rps16.txt	7
Allium	ericetorum	5.8SrRNA.txt	4
Allium	ericetorum	ITS.txt	4
Allium	ericetorum	ITS1.txt	4
Allium	ericetorum	ITS2.txt	4
Allium	horvatii	trnL-trnF.txt	4
Allium	insubricum	atpB-rbcL.txt	4
Allium	insubricum	rbcL.txt	5
Allium	marschallianum	5.8SrRNA.txt	6
